date,description,earnings,job_title,job_type,link,text,title
2022-09-07 15:14,"
        
Overview: We are looking for fearless people. People who believe that it is possible to build a better world. People who believe that if you were able to contribute something to society, it was worth it. People who are willing to be the digital gatekeeper of the social network. So, if you are ready for a challenge, we’re ready for you.

Competencies: Resilience, Integrity, Empathy and Communication Skills

Responsibilities

Review, classify and/or eliminate highly sensitive content, uploaded by users, according to the parameters defined by the client.
Make timely escalations that require special attention from your line manager in accordance with established procedures.
Participate in continuous training programs established by the company for optimal development in the role.
Use a higher degree of judgment and cognitive ability to navigate through content with a higher
Subjectivity or grey areas.
Identify trends and report issues that need policy specialist interventions.
Requirements

At least 1 year of content moderation experience or Trust & Safety similar activities, such as: Social responsibility, ONG, Voluntary Job helping people in need, Child protection institutions.
Intermediate English level (B2 or above)
High school diploma +
Typing 15WPM
Job Type: Full-time

Salary: ₡550,000.00 - ₡650,000.00 per month

Language:

English B2 (85%) (Required)
    ","₡550,000.00 - ₡650,000.00 per month",Digital Guardian- Content Moderator T2,tiempo completo,https://costarica.craigslist.org/csr/d/digital-guardian-content-moderator-t2/7531107203.html,Digital Guardian- Content Moderator T2,Digital Guardian- Content Moderator T2
2022-09-08 10:08,"
        
We are looking the best Telesales:

Requirements:

1. Fully Bilingual.
2. 1 year of experience -desirable-
3. Knowledge in Technical Support - desirable -

Be part of a great company!
    ",A convenir,Telesales Representative,tiempo completo,https://costarica.craigslist.org/sls/d/telesales-billingue/7531362653.html,Telesales Billingue,Telesales Billingue
2022-09-08 10:35,"
        
Would you like to make a real difference? Come help make someone's day BETTER by joining our new guided Customer Support team! A new twist on the Tech experience for anyone who is oriented to a little more than just Customer Service.
You bring the talent, we guide you to succeed!
Requirements:
85% English level
Good communication skills
Schedule Flexibility
On-site position
#Teleperformance #GPTW

Send your application under the subject: Guided Customer Support to  
 We look forward to hearing from you
    ","Salary: ₡400,000.00 - ₡550,000.00 per month",Guided Customer Support,tiempo completo,https://costarica.craigslist.org/csr/d/guided-customer-support/7531383809.html,Guided Customer Support,Guided Customer Support
2022-09-08 10:13,"
        
2 positions available. 

Work from home majority of the week and the office 1 or 2 days.

Office location in lindora, Santa Ana. 

Experience and skills a priority. 

Eventually you will be hiring and managing your own team. 

Pay starting at $2000 a month and will go up based on your experience. 

Good workplace, comfortable environment. Email for an interview.
    ",Pay starting at $2000 a month and will go up based on your experience.,SEO/Social media managers needed,tiempo completo,https://costarica.craigslist.org/mar/d/seo-social-media-managers-needed/7531372348.html,SEO/Social media managers needed,SEO/Social media managers needed
2022-09-08 10:38,"
        
Customer Support: 
Interested in a position that will not only challenge you, but help develop your skills? 
We are looking for people with high customer service standards, who enjoy working in a dynamic and multi-skilled environment.
Requirements:85% English level
Customer orientation and some billing knowledge
Tech support knowledge for Home Internet Service
#Teleperformance #TP #costarica

Send your application under the subject: Customer Support to  
 We look forward to hearing from you
    ","Salary: ₡400,000.00 - ₡550,000.00 per month",Customer Support,tiempo completo,https://costarica.craigslist.org/csr/d/customer-support/7531385465.html,Customer Support,Customer Support
2022-08-01 16:18,"
        
QUALIFICATIONS AND JOB DESCRIPTION

What you will do:
•	Work at a fast pace and very exciting company.
•	Work in a scrum team and participate in sprint reviews and backlog grooming.
•	Write reusable code using good design patterns.
•	Perform code reviews.

Required skills and experience:
•	Solid knowledge of Javascript (ES6).
•	Experience with single-page Javascript applications (SPA).
•	Thorough understanding of VueJS.
•	Ability to write semantic HTML.
•	Experience with SCSS or Less.
•	Ability to build a React Native based mobile application from scratch and put it to production.
•	Deep knowledge of React Native, ReactJS and Redux.
•	Experience in native iOS or Android development is a plus.
•	Knowledge of SEO principles.
•	Close collaboration with designers and business analysts.
•	Optimizing code for speed.
•	A self-learner who likes to stay on top of technology.
•	Team player with a team-first approach.
•	Experienced in problem-solving, and able to follow a methodical implementation process.
•	Excellent interpersonal and organizational skills, ability to handle diverse situations, and multiple projects.
•	Excellent communication skills, both verbal and written.
 
It’d be great if you have:
•	Experience in Scrum
•	Experience in Bitbucket
•	Experience in Jira
•	Experience in Continuous Integration
•	Automated End to End testing (Cypress, Selenium, Nightwatch, etc.)
•	Some backend experience (.Net preferred)
•	Experience with NuxtJS
    ",We are open to negotiation,FrontEnd Developer,tiempo completo,https://costarica.craigslist.org/sof/d/frontend-developer/7516164598.html,FrontEnd Developer,FrontEnd Developer
2022-09-08 11:31,"
        
compensation: 2.00 AN HOUR WITH GREAT INCENTIVES $5,$10,$25 FOR QUALIFIED APPOINTMENTS
employment type: full-time
LOOKING FOR A MOTIVATED INDIVIDUAL THAT WANTS TO MAKE GOOD MONEY AS A APPOINTMENT SETTER! WE ARE A FULL CONSTRUCTION, HVAC COMPANY. WE HAVE WORK 6 DAYS A WEEK ALL YEAR AROUND! GREAT INCENTIVES, GREAT WORKING PLATFORM. NEEDS TO SPEAK GOOD ENGLISH, HAVE A COMPUTER AND HEADSET! PAY IS EVERY FRIDAY! IF INTERESTED CALL HAS TO HAVE GOOD INTERNET !!!CONSTRUCTION KNOWLEDE NESSASRY
JOHN AT  
 !!! OR TEXT THROUGH WHAT'S APP!!!
    ","$4 an hour with lots of incentives $5,$10,$25 for each qualified appointment",telemarketer,tiempo completo,https://costarica.craigslist.org/sls/d/sales-reps-heating-and-air-conditioning/7531408888.html,SALES REPS HEATING AND AIR CONDITIONING  COMPANY $$$$$$$$,SALES REPS HEATING AND AIR CONDITIONING  COMPANY $$$$$$$$
2022-08-01 16:10,"
        
Role Purpose: The QA ’s key role is communication with the client. QA responsibilities include designing, implementing, and executing test cases, debugging and describe corrective actions required. QA will also has responsibility to review system requirements and define clearly quality assurance metrics for certain product.

Key Responsibilities:
•	Review system requirements and specifications design to provide system feedback
•	Create and execute comprehensive test cases
•	Plan, estimate, manage, and coordinate system testing activities
•	Develop and deploy testing processes for new and existing products to meet client’s requirements
•	Create, design, develop, and execute automated testing scripts
•	Collaborate with internal teams (e.g., project manager, software engineers, and UI/UX designers)
•	Monitoring and debugging process
•	Investigate the cause of non-conforming products 
•	Up-to-date with the newest and current technologies and tools for testing and other related activities
•	Track the metrics and indicators for quality assurance for each product
•	Identify and create documentation and tracking bugs within system

Qualifications and Educational Requirements
•	Familiar with software development
•	Familiar with software quality assurance
•	Strong and solid knowledge in software Quality Assurance method, tools, process, and problem solving
•	Solid Knowledge on SQL and scripting methods
•	Willing to work in agile working system
•	Experience with performance and/or security testing is a plus
•	Hands-on experiences with automated testing tools is a plus
•	BS/MS degree in Computer Science, Engineering or a related subject
•	Fresh Graduate are welcome to apply

Specialist Skills and Experience Required
•	Analysis (Business & Data)
•	Attention to detail
•	Time management
•	Problem-solving
•	Multitasking
•	Written and verbal communication
•	Ability to work as part of a team
•	Knowledge of quality standards
•	Stress management
    ",We are open to negotiation,Quality Assurance Specialist,tiempo completo,https://costarica.craigslist.org/sof/d/quality-assurance-specialist/7516153345.html,Quality Assurance Specialist,Quality Assurance Specialist
2022-08-01 16:21,"
        
Minimum Qualifications and Skills:

•	Work directly with Infrastructure and DevOps leadership to ensure that the Engineering Team has all the resources needed to build, deliver, and maintain the platform.
•	Coordinate with the Product Team to ensure that team resources are allocated properly to meet product requirements.
•	5+ years setting up and maintaining high availability multi-region deployments and infrastructure.
•	Experience in implementing CI/CD concepts with container orchestration platforms such as Docker/Kubernetes
•	CDN and global traffic management, experienced in Nginx is plus.
•	Experience setting up and maintaining CI/CD pipelines.
•	Experience setting up and maintaining monitoring tools such as Sentry, ELK, APM
•	Experience managing DevOps in Linux infrastructure
•	Experience in Git / Bitbucket / Jenkins 
•	Strong Linux knowledge ( RHEL ) 
•	Scripting experience in PowerShell, Python and/or Bash
    ",We are open to negotiation,Senior DevOps Engineer,tiempo completo,https://costarica.craigslist.org/ofc/d/senior-devops-engineer/7516165958.html,Senior DevOps Engineer,Senior DevOps Engineer
2022-08-01 16:25,"
        
Role Purpose: The QA ’s key role is communication with the client. QA responsibilities include designing, implementing, and executing test cases, debugging and describe corrective actions required. QA will also has responsibility to review system requirements and define clearly quality assurance metrics for certain product.

Key Responsibilities:
•	Review system requirements and specifications design to provide system feedback
•	Create and execute comprehensive test cases
•	Plan, estimate, manage, and coordinate system testing activities
•	Develop and deploy testing processes for new and existing products to meet client’s requirements
•	Create, design, develop, and execute automated testing scripts
•	Collaborate with internal teams (e.g., project manager, software engineers, and UI/UX designers)
•	Monitoring and debugging process
•	Investigate the cause of non-conforming products 
•	Up-to-date with the newest and current technologies and tools for testing and other related activities
•	Track the metrics and indicators for quality assurance for each product
•	Identify and create documentation and tracking bugs within system

Qualifications and Educational Requirements
•	Familiar with software development
•	Familiar with software quality assurance
•	Strong and solid knowledge in software Quality Assurance method, tools, process, and problem solving
•	Solid Knowledge on SQL and scripting methods
•	Willing to work in agile working system
•	Experience with performance and/or security testing is a plus
•	Hands-on experiences with automated testing tools is a plus
•	BS/MS degree in Computer Science, Engineering or a related subject
•	Fresh Graduate are welcome to apply

Specialist Skills and Experience Required
•	Analysis (Business & Data)
•	Attention to detail
•	Time management
•	Problem-solving
•	Multitasking
•	Written and verbal communication
•	Ability to work as part of a team
•	Knowledge of quality standards
•	Stress management
    ",We are open to negotiation,Quality Assurance Specialist,tiempo completo,https://costarica.craigslist.org/sof/d/quality-assurance-specialist/7516164794.html,Quality Assurance Specialist,Quality Assurance Specialist
2022-08-01 16:31,"
        
QUALIFICATIONS AND JOB DESCRIPTION

Job Requirements
•	Elicit, analyze, validate and document business, organizational and/or operational requirements
•	Translate business requirements into a conceptual system design (including but not limited to business requirements document high-level use cases, UI prototypes (screen mockups); work closely with systems analysts and solution architects for the delivery of IT-solutions
•	Evaluate information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, abstract up from low-level information to a general understanding, and distinguish user requests from the underlying true needs.
•	Assist the stakeholders with their impact analysis and the development of business case
•	Contribute to the preparation of communication plans between clients/stakeholders and IT from project inception to final implementation
•	Plan, develop and facilitate stakeholder and user community workshops
•	Understand business processes in order to recommend ways to automate them and their related activities
•	Proactively support the Design and Construction and Implementation phases by reviewing design documents and ensuring requirements are met; reviewing test strategy, test plans, and test cases to ensure requirements are met; supporting QA and testing team; reviewing defects and working with the client to determine the priority of fix and/or manual workaround
•	Apply proven communication, analytical, and problem-solving skills to maximize the benefit of IT system investments and to assist in implementing new business process solutions
•	As part of requirements elicitation activity, serve as a liaison between the business units and the IT teams
•	Remain current with trends and topics related to Business Analysis

Qualification Requirements
•	Bachelor’s degree in a relevant field, such as in business or management, information management, and technology, or engineering
•	Extensive experience in implementing ERP
•	Working experience as a business analyst in software development at least 3 years
•	Experienced in working with issue tracking systems
•	Excellent customer communication skills
•	Ability to clearly formulate tasks
•	Attention to details
•	Confident knowledge of Agile methodology
•	Experienced in working with issue tracking systems

Special Requirements
•	Work schedule flexibility
•	Available for travel abroad
    ",We are open to negotiation,Business Analyst,tiempo completo,https://costarica.craigslist.org/sof/d/business-analyst/7516164915.html,Business Analyst,Business Analyst
2022-08-01 17:09,"
        
A financial company in a booming industry is looking for the best closers in Costa Rica.


We are building the best sales team in Costa Rica, and are excited to invite you to take part in a growing family and seize a lifetime opportunity.


Please only apply with us if you meet all of the requirements below:


Responsibilities:

You will be taking inbound queue calls and conducting outbound calls with potential prospects.
You will be managing your own sales pipeline.
You will be meeting weekly/monthly/yearly sales goals.

Qualifications:

Our ideal candidate is a hard worker with an excellent work ethic.
Our ideal candidate must speak, read and write fluent English.
Our ideal candidate lives in San Jose, Costa Rica, preferably in or around Escazu.
Our ideal candidate is hungry for success and would like to change their life for the better while helping other people on a daily basis.
Our ideal candidate is not afraid of the phone.


If you think you would be a good fit for this job position, please submit your CV.
    ",$1000-$5000,Sales Agent,tiempo completo,https://costarica.craigslist.org/sls/d/join-the-best-sales-team-in-booming/7516184479.html,Join The Best Sales Team In A Booming Industry!,Join The Best Sales Team In A Booming Industry!
2022-08-01 16:31,"
        
QUALIFICATIONS AND JOB DESCRIPTION

What you will do:
•	Work at a fast pace and very exciting company.
•	Work in a scrum team and participate in sprint reviews and backlog grooming.
•	Write reusable code using good design patterns.
•	Perform code reviews.
•	Provide coaching and mentoring to .NET developers and technical leaders.
•	Collaborate with team leaders, architects and expertise teams to implement best practices and technical solutions.

Required skills and experience:
•	Leadership skills, good interpersonal and mentoring skills.
•	Support a multidisciplinary development team on a daily basis (DEV/QA/BA).
•	Encourage and ensure continuous improvement of the team towards self-organization.
•	Set goals and take ownership of team member evaluation. Provide constructive feedback and ensure performance level.
•	Contribute to incident escalation between the development team and other departments.
•	Work closely with the Development Director at Professional Services to accomplish departmental priorities.
•	Demonstrate leadership, excellent communication, and flexibility with work schedule.
•	Thorough understanding and demonstrated experience in Object Oriented Design and Database design.
•	Strong expertise in data structures, design patterns, distributed systems, multithreading programming, performance optimization.
•	Experience with, and be well versed in, MVC, Kafka/RabbitMQ, Web Socket, Elastic Search, Mongo, Redis, Memcache.
•	Capability of connecting the application to leading backend data stores (SQL, NoSQL, Big Data).
•	Experienced in problem-solving, and able to follow a methodical implementation process.
•	Excellent communication skills, both verbal and written.
•	University degree in Computer Science, Engineering Science, or equivalent.

It’d be great if you have:
•	Experience in Scrum
•	Experience in Bitbucket
•	Experience in Jira
•	Experience in Continuous Integration
•	Experience in QA Automation
    ",We are open to negotiation,.Net Team Lead,tiempo completo,https://costarica.craigslist.org/sof/d/net-team-lead/7516164366.html,.Net Team Lead,.Net Team Lead
2022-08-01 17:19,"
        
For Senior Linux Engineer we are looking for ;

- Support the requests of the production and development teams to solve any problems related with the Linux servers
- Familiarity with virtualization technologies (i.e., VMware)
- Experience in Bash, and/or Python scripting
- DevOps Essentials will be highly evaluated
- Strong problem solving and communication skills
- Perform server hardware maintenance and upgrades;
- Maintain software repositories and apply software updates;
- Install, configure and maintain servers in a Linux environment
- Maintain/monitor the health of the Linux servers through both automated and manual processes.
- Linux system management, setup, configuration, hardening, backup and recovery (preferably RHEL) at least 5 years of experience.
- Experience in Docker
- Automation / Configuration management (Ansible preferred)
    ",We are open to negotiation,Sr. Unix/Linux System Administrator,tiempo completo,https://costarica.craigslist.org/sof/d/sr-unix-linux-system-administrator/7516188277.html,Sr. Unix/Linux System Administrator,Sr. Unix/Linux System Administrator
2022-08-01 17:20,"
        
Build applications and programs using .NET CORE. Design, develop and debug new and existing features.

Key Responsibilities:
•	Design, development and testing of new features in the applications
•	Responsible for regular communication with others involved in the development process
•	Implement, test, and bug-fix functionality
•	Responsibility for design and implementation of software projects using C#
•	Participate as a team member in fully agile Scrum deliveries
•	Design, build, and maintain efficient and reliable C# code

Qualifications and Educational Requirements
•	At least 3 years of experience developing web applications in C#.
•	At least 1 years of experience with ASP .NET Core MVC.
•	Experience developing and consuming web-services (preferably REST).
•	SQL database or relational database skills
•	Experience with Entity Framework.
•	Solid understanding of OOP and design patterns.
•	Good working knowledge of git.
•	Experience with CI/CD is a plus.
•	Bachelor’s degree in computer engineering or equivalent experience.
    ",We are open to negotiation,C# Developer,tiempo completo,https://costarica.craigslist.org/sof/d/developer/7516186346.html,C# Developer,C# Developer
2022-08-01 17:26,"
        
Required skills and experience:
•	Windows coordination environment 
•	Windows automation 
•	Monitoring performance and advising any necessary data, architecture or infrastructure changes
•	Integrating 3rd party software solutions from numerous, industry best-of-breed products into the Microsoft Dynamics suite
•	Develop data migrations strategies for projects using Microsoft recommended tools and frameworks
•	Provide competency in problem solving, data analysis, business rule validation, model assessment, data integration, data quality, dependency analysis, stakeholder management, and estimation and delivery of complex models and information architectures
•	Assist solution and enterprise architects with identifying approaches and strategies for managing and integrating Microsoft Dynamics solutions across the solution design
•	Knowledge of Microsoft Dynamics architectural components especially in Framework and Application foundation including layers, models, tiers, and data partitions 
•	Prepare and maintain and publish data model diagrams, dictionaries, scripts and metadata files in accordance with project methodology and collaboration guidelines
•	7 to 10 years working with Microsoft products, certifications in architecture, power platform and knowledge in or MS Cybersecurity Architect Expert 
•	Stakeholders analysis Microsoft users 
•	Design a Zero Trust strategy and architecture in Microsoft 
•	Evaluate Governance Risk Compliance (GRC) technical strategies and security operations strategies in windows 
•	Design security for infrastructure windows 
•	Design a strategy for data and applications in windows
    ",We are open to negotiation,Senior Systems Windows Engineer,tiempo completo,https://costarica.craigslist.org/ofc/d/senior-systems-windows-engineer/7516187321.html,Senior Systems Windows Engineer,Senior Systems Windows Engineer
2022-08-01 17:36,"
        
The Chief Information Security Officer serves as the process owner of all assurance activities related to the availability, integrity and confidentiality of customer, business partner, employee and business information in compliance with the organization's information security policies. A key element of the CISO's role is working with executive management to determine acceptable levels of risk for the organization. This position is responsible for establishing and maintaining a corporate-wide information security management program to ensure that information assets are adequately protected.
Responsibilities:
•	Develop, implement and monitor a strategic, comprehensive enterprise information security and IT risk management program
•	Work directly with the business units to facilitate risk assessment and risk management processes
•	Develop and enhance an information security management framework
•	Understand and interact with related disciplines through committees to ensure the consistent application of policies and standards across all technology projects, systems and services
•	Provide leadership to the enterprise's information security organization
•	Partner with business stakeholders across the company to raise awareness of risk management concerns
•	Assist with the overall business technology planning, providing a current knowledge and future vision of technology and systems
Requirements:
•	Degree in business administration or a technology-related field required. 
•	Professional security management certification
•	Minimum of eight to 12 years of experience in a combination of risk management, information security and IT jobs
•	Knowledge of common information security management frameworks, such as ISO/IEC 27001, and NIST.
•	Excellent written and verbal communication skills and high level of personal integrity
•	Innovative thinking and leadership with an ability to lead and motivate cross-functional, interdisciplinary teams
•	Experience with contract and vendor negotiations and management including managed services.
•	Specific experience in Agile (scaled) software development or other best in class development practices.
•	Experience with Cloud computing/Elastic computing across virtualized environments.
    ",We are open to negotiation,Chief Information Security Officer,tiempo completo,https://costarica.craigslist.org/ofc/d/chief-information-security-officer/7516188904.html,Chief Information Security Officer,Chief Information Security Officer
2022-08-02 09:54,"
        
We Offer:
• Immediate full time positions
• Excellent transportation BONUS
• GREAT salary
• Family like environment
• Job stability
• Comprehensive benefit package
• Training Bonus

Requirements:
* Has the ability to multi-task and troubleshoot.
* Can work under pressure.
* Pay close attention to details.
* Team player.
* Must be able to work weekends
* Responsible!
* Has knowledge or desire to learn more about the sports betting industry.
* Has strong listening and communication skills.
* Computer skills
* Can start immediately.
* Call Center experience is a plus
* Availability to work on weekends, holidays and evenings
    ",GREAT Salary-Above Market,Customer Service Clerk,tiempo completo,https://costarica.craigslist.org/csr/d/on-site-position-customer-service/7516394874.html,ON SITE POSITION - CUSTOMER SERVICE SPECIALIST,ON SITE POSITION - CUSTOMER SERVICE SPECIALIST
2022-08-02 10:02,"
        
We are looking for: 
5+ years of experience on sportsbook and Verifiable experience using DGS
Knowledge of the pph market
Verifiable experience on lines management
Work under pressure
Goals oriented
English level native
Full time availability

Great work behavior
Excelente payroll
    ",800.000 monthly,Customer service and lines,tiempo completo,https://costarica.craigslist.org/ofc/d/customer-service-and-lines/7516398679.html,Customer service and lines,Customer service and lines
2022-08-02 12:18,"
        
Our company prides in providing outstanding service level to our clients; check out our requirements and send us your resume if you qualify:

-Vast experience providing premium class customer service 
-Passionate and communicative
-Fast learners and great data retention
-Multitasking
-Able to adapt to sudden changes 
-Capable of working under pressure
-Proven commitment and responsible working habits
-Excellent and positive attitude
-Active listeners
-Resourceful
-Fast typing skills with strong attention to detail
-Financial background preferred but not limited to
-High School diploma and/or higher
-CEFR English level C1 or C2 preferred (native speakers welcomed)

**Full time positions available ON SITE ONLY (San José, Costa Rica)**
    ",competitive salary,Customer Service Representative,tiempo completo,https://costarica.craigslist.org/csr/d/searching-for-premium-class-cs-agents/7510930498.html,Searching for Premium Class CS agents!,Searching for Premium Class CS agents!
2022-08-03 10:22,"
        
If you know how to Sell we have a job for you
Monday through Friday 9-5
Great commissions
Please Send a Voice Message Resume 6392-8439
Not a work from home job

    ",Top dollar Commissions Call 6392-8439,Sales Reps,tiempo completo,https://costarica.craigslist.org/bus/d/salesman-need-it-in-english/7516832544.html,Salesman need it in english,Salesman need it in english
2022-08-03 10:24,"
        
If you know how to Sell we have a job for you
Monday through Friday
    ",Draw/ Top dollar Commissions/ Call 6392-8439,Looking for Good Sales Reps,opción del empleado,https://costarica.craigslist.org/bus/d/good-sales-reps/7516833171.html,Good Sales Reps,Good Sales Reps
2022-08-03 15:40,"
        
Support Services Group is looking for customer service representatives to join our team in our San Jose Costa Rica office. This person will drive customer satisfaction by fielding inquiries, addressing pain points, and maintaining extensive product knowledge.


The ideal candidate has a customer-first mindset and aims to deliver high-quality service in every customer interaction.

Responsibilities:

Manage inbound customer communications - Answer incoming calls and emails to address customer questions, requests and issues
Consult on customer success - Advise customers on how to successfully leverage the product/service based on their unique needs
Maintain working product knowledge - Act as a product expert to ensure the information given to customers is accurate, up-to-date, and strategic
Track interactions in CRM - Record customers interactions in the internal system for cross-functional awareness and relationship development
Requirements:

over 6 months of proven experience in Customer service
Excellent written and verbal English communication skills
Ability to address complaints and issues with effective solutions and a positive attitude
Passion for delighting customers with above and beyond service
Excellent time-management and prioritization skills
Familiarity with CRM system
Able to work under pressure

 

About Support Services Group:

Founded in 1981, Support Services Group is a global, high-touch Omnichannel Outsourced Contact Center solution company headquartered in Texas, USA, with 23 contact centers in 9 countries: United States, Canada, Mexico, Panama, Costa Rica, and many others. Our employees enjoy a work culture that promotes excellence in our services and personal growth.

SSG benefits include:

Full-Time Schedules
Competitive Salaries
USD pay
Bi-weekly Payments.
Work From Home Available once you meet the KPI's (Limited)
Outstanding performance-based incentives
Store and hotel discounts
Casual dress code
Relaxed environment
2 days off Guaranteed
    ",Base of $800.00 per month.,Customer Service Agents,tiempo completo,https://costarica.craigslist.org/csr/d/customer-service-agents/7516976016.html,Customer Service Agents,Customer Service Agents
